rank,name,team,position,market_value_eur,age,source_url,list_source_url
22,Luka Vuskovic,KVC Westerlo,Centre-Back,40000000,17,https://www.transfermarkt.com/luka-vuskovic/profil/spieler/892160,https://www.transfermarkt.com/spieler-statistik/wertvollstespieler/marktwertetop/plus/0/galerie/0?ausrichtung=alle&spielerposition_id=alle&altersklasse=u21&jahrgang=0&land_id=0&kontinent_id=0&jahr=2025&yt0=show&page=1
23,Senny Mayulu,Paris Saint-Germain,Central Midfield,40000000,18,https://www.transfermarkt.com/senny-mayulu/profil/spieler/903693,https://www.transfermarkt.com/spieler-statistik/wertvollstespieler/marktwertetop/plus/0/galerie/0?ausrichtung=alle&spielerposition_id=alle&altersklasse=u21&jahrgang=0&land_id=0&kontinent_id=0&jahr=2025&yt0=show&page=1
24,Jorrel Hato,Ajax Amsterdam,Left-Back,40000000,18,https://www.transfermarkt.com/jorrel-hato/profil/spieler/904802,https://www.transfermarkt.com/spieler-statistik/wertvollstespieler/marktwertetop/plus/0/galerie/0?ausrichtung=alle&spielerposition_id=alle&altersklasse=u21&jahrgang=0&land_id=0&kontinent_id=0&jahr=2025&yt0=show&page=1
25,Rodrigo Mora,FC Porto,Attacking Midfield,40000000,17,https://www.transfermarkt.com/rodrigo-mora/profil/spieler/957653,https://www.transfermarkt.com/spieler-statistik/wertvollstespieler/marktwertetop/plus/0/galerie/0?ausrichtung=alle&spielerposition_id=alle&altersklasse=u21&jahrgang=0&land_id=0&kontinent_id=0&jahr=2025&yt0=show&page=1
26,Ayyoub Bouaddi,LOSC Lille,Central Midfield,40000000,17,https://www.transfermarkt.com/ayyoub-bouaddi/profil/spieler/1097139,https://www.transfermarkt.com/spieler-statistik/wertvollstespieler/marktwertetop/plus/0/galerie/0?ausrichtung=alle&spielerposition_id=alle&altersklasse=u21&jahrgang=0&land_id=0&kontinent_id=0&jahr=2025&yt0=show&page=2
27,Said El Mala,FC Viktoria Köln,Left Winger,40000000,18,https://www.transfermarkt.com/said-el-mala/profil/spieler/1168219,https://www.transfermarkt.com/spieler-statistik/wertvollstespieler/marktwertetop/plus/0/galerie/0?ausrichtung=alle&spielerposition_id=alle&altersklasse=u21&jahrgang=0&land_id=0&kontinent_id=0&jahr=2025&yt0=show&page=2
28,Archie Gray,Tottenham Hotspur,Right-Back,38000000,18,https://www.transfermarkt.com/archie-gray/profil/spieler/922693,https://www.transfermarkt.com/spieler-statistik/wertvollstespieler/marktwertetop/plus/0/galerie/0?ausrichtung=alle&spielerposition_id=alle&altersklasse=u21&jahrgang=0&land_id=0&kontinent_id=0&jahr=2025&yt0=show&page=2
29,Tyler Dibling,Southampton FC,Right Winger,35000000,18,https://www.transfermarkt.com/tyler-dibling/profil/spieler/866655,https://www.transfermarkt.com/spieler-statistik/wertvollstespieler/marktwertetop/plus/0/galerie/0?ausrichtung=alle&spielerposition_id=alle&altersklasse=u21&jahrgang=0&land_id=0&kontinent_id=0&jahr=2025&yt0=show&page=2
30,Pio Esposito,Spezia Calcio,Centre-Forward,35000000,19,https://www.transfermarkt.com/pio-esposito/profil/spieler/930781,https://www.transfermarkt.com/spieler-statistik/wertvollstespieler/marktwertetop/plus/0/galerie/0?ausrichtung=alle&spielerposition_id=alle&altersklasse=u21&jahrgang=0&land_id=0&kontinent_id=0&jahr=2025&yt0=show&page=2
31,Vitor Roque,Real Betis Balompié,Centre-Forward,35000000,19,https://www.transfermarkt.com/vitor-roque/profil/spieler/943837,https://www.transfermarkt.com/spieler-statistik/wertvollstespieler/marktwertetop/plus/0/galerie/0?ausrichtung=alle&spielerposition_id=alle&altersklasse=u21&jahrgang=0&land_id=0&kontinent_id=0&jahr=2025&yt0=show&page=2
32,Endrick,Real Madrid,Centre-Forward,35000000,18,https://www.transfermarkt.com/endrick/profil/spieler/971570,https://www.transfermarkt.com/spieler-statistik/wertvollstespieler/marktwertetop/plus/0/galerie/0?ausrichtung=alle&spielerposition_id=alle&altersklasse=u21&jahrgang=0&land_id=0&kontinent_id=0&jahr=2025&yt0=show&page=2
33,Antonio Nusa,RB Leipzig,Left Winger,32000000,19,https://www.transfermarkt.com/antonio-nusa/profil/spieler/894914,https://www.transfermarkt.com/spieler-statistik/wertvollstespieler/marktwertetop/plus/0/galerie/0?ausrichtung=alle&spielerposition_id=alle&altersklasse=u21&jahrgang=0&land_id=0&kontinent_id=0&jahr=2025&yt0=show&page=2
