Nume,Echipă,Post,M.V. (EUR),Vârstă,Țara campionatului,Competiție,Profil Transfermarkt,Lista sursă
Adelin Sîrbu,UD Alboraya U19,Extremă stânga,,18,Spania,,https://www.transfermarkt.com/adelin-sirbu/profil/spieler/1237615,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/157/page/2
Adonis Ghiban,Badener AC,Atacant,,21,Austria,,https://www.transfermarkt.com/adonis-ghiban/profil/spieler/1025477,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/127/page/2
Adrian Atomei,Acqui US 1911,Atacant central,,34,Italia,,https://www.transfermarkt.com/adrian-atomei/profil/spieler/324215,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/75/page/3
Adrian Balea,SG Bruchweiler,Fundaș dreapta,,38,Germania,,https://www.transfermarkt.com/adrian-balea/profil/spieler/466655,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/40/page/3
Adrian Cabuz,Hellas United,Atacant,,,Germania,,https://www.transfermarkt.com/adrian-cabuz/profil/spieler/1438911,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/40/page/15
Adrian Chiriac,Bioimis Tombolo Calcio,Mijlocaș defensiv,,24,Italia,,https://www.transfermarkt.com/adrian-chiriac/profil/spieler/677148,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/75/page/3
Adrian Chirvase,SV Lichtenberg,Atacant,,27,Germania,,https://www.transfermarkt.com/adrian-chirvase/profil/spieler/1443837,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/40/page/15
Adrian Cimpean,TSV Altenstadt II,Mijlocaș stânga,,42,Austria,,https://www.transfermarkt.com/adrian-cimpean/profil/spieler/279253,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/127
Adrian Grigore-Huideș,UD Calpe,Fundaș central,,22,Spania,,https://www.transfermarkt.com/adrian-grigore-huides/profil/spieler/710072,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/157
Adrian Guica,UD Vista Alegre Barcelona,Mijlocaș central,,26,Spania,,https://www.transfermarkt.com/adrian-guica/profil/spieler/699910,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/157/page/2
Adrian Hurdubei,FC Romania,Mijlocaș ofensiv,,36,Anglia,,https://www.transfermarkt.com/adrian-hurdubei/profil/spieler/213775,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/189
Adrian Leucian,SpVgg Durlach-Aue II,Fundaș,,46,Germania,,https://www.transfermarkt.com/adrian-leucian/profil/spieler/728035,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/40/page/8
Adrian Marinaș,Nagyecsed Rákóczi SE,Mijlocaș ofensiv,,38,Ungaria,,https://www.transfermarkt.com/adrian-marinas/profil/spieler/168366,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/178
Adrian Nicolae Radu,VfR Heilbronn 96/18,Atacant,,30,Germania,,https://www.transfermarkt.com/adrian-nicolae-radu/profil/spieler/1041392,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/40/page/10
Adrian Oancea,SD Formentera,Atacant central,,23,Spania,,https://www.transfermarkt.com/adrian-oancea/profil/spieler/1113175,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/157/page/2
Adrian Puțanu,FC Alemannia Wilferdingen,Fundaș central,,32,Germania,,https://www.transfermarkt.com/adrian-putanu/profil/spieler/186740,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/40
Adrian Raducu Bungiac,FC Huttenheim,Mijlocaș,,39,Germania,,https://www.transfermarkt.com/adrian-raducu-bungiac/profil/spieler/164324,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/40/page/4
Adrian Simioanca,Eintracht Bad Kreuznach II,Fundaș central,,41,Germania,,https://www.transfermarkt.com/adrian-simioanca/profil/spieler/369136,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/40/page/4
Adrian Stamin,SV Marzling,Atacant,,32,Germania,,https://www.transfermarkt.com/adrian-stamin/profil/spieler/728967,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/40/page/8
Adrian Tache,PFC Victoria London,Mijlocaș central,,34,Anglia,,https://www.transfermarkt.com/adrian-tache/profil/spieler/213130,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/189
Adrian Țenea,FV Biberach/Riß,Fundaș,,22,Germania,,https://www.transfermarkt.com/adrian-tenea/profil/spieler/1176999,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/40/page/12
Adrian-Ionel Țăranu,Red Stars Mönchengladbach,Mijlocaș,,36,Germania,,https://www.transfermarkt.com/adrian-ionel-taranu/profil/spieler/633594,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/40/page/6
Adrian-Nicolae Rotaru,FC Riensberg,Portar,,37,Germania,,https://www.transfermarkt.com/adrian-nicolae-rotaru/profil/spieler/753544,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/40/page/8
Adrian-Viorel Ignat,TSV Grunbach,Fundaș,,32,Germania,,https://www.transfermarkt.com/adrian-viorel-ignat/profil/spieler/942885,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/40/page/10
Adriano Ceapaliga,Real Murcia U19,Mijlocaș defensiv,,17,Spania,,https://www.transfermarkt.com/adriano-ceapaliga/profil/spieler/1487130,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/157/page/3
Ahmet Ekmekci,Alanya 1221 FSK,Atacant central,,22,Turcia,3.Lig Grup 2,https://www.transfermarkt.com/ahmet-ekmekci/profil/spieler/1153963,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/174
Albert Niculăesei,Elche CF U19,Fundaș stânga,,18,Spania,,https://www.transfermarkt.com/albert-niculaesei/profil/spieler/1196497,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/157/page/2
Albert Radu,Málaga CF Youth,Mijlocaș central,,18,Spania,,https://www.transfermarkt.com/albert-radu/profil/spieler/1060696,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/157/page/2
Alberto Olteanu,Real Forio 2014,Extremă stânga,,18,Italia,Serie D - Girone H,https://www.transfermarkt.com/alberto-olteanu/profil/spieler/1060700,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/75/page/4
Aleksander Mitrović,FK Sloboda Tuzla,Portar,,23,Bosnia și Herțegovina,Prva liga FBiH,https://www.transfermarkt.com/aleksander-mitrovic/profil/spieler/608470,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/24
Alessandro Chira,Parma Under 18,Atacant central,,17,Italia,Campionato Under 18,https://www.transfermarkt.com/alessandro-chira/profil/spieler/1395717,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/75/page/6
Alessandro Năstase,Tropical Coriano,Fundaș central,,21,Italia,Serie D - Girone D,https://www.transfermarkt.com/alessandro-nastase/profil/spieler/1034691,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/75/page/4
Alex Asiu,FC Lustenau II,Fundaș,,28,Austria,,https://www.transfermarkt.com/alex-asiu/profil/spieler/373873,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/127/page/2
Alex Bolovan,Braintree Town,Mijlocaș central,,21,Anglia,National League South,https://www.transfermarkt.com/alex-bolovan/profil/spieler/1565619,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/189/page/2
Alex Lazăr,Paiporta CF,Mijlocaș central,,35,Spania,,https://www.transfermarkt.com/alex-lazar/profil/spieler/147995,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/157
Alex Manolache,ACD San Stino,Fundaș stânga,,30,Italia,,https://www.transfermarkt.com/alex-manolache/profil/spieler/285922,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/75/page/2
Alex Ripas,VfL Pfullingen II,Mijlocaș dreapta,,23,Germania,,https://www.transfermarkt.com/alex-ripas/profil/spieler/959356,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/40/page/10
Alex Urcan,Club Gimnàstic Manresa U19,Fundaș,,19,Spania,,https://www.transfermarkt.com/alex-urcan/profil/spieler/1473149,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/157/page/3
Alexander Adrian Radu,Sant'Ermete Calcio,Fundaș central,,30,Italia,,https://www.transfermarkt.com/alexander-adrian-radu/profil/spieler/1039348,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/75/page/4
Alexander Hotea-Mironescu,SV Solingen 08/10,Extremă dreapta,,22,Germania,Landesliga Niederrhein - Gruppe 2,https://www.transfermarkt.com/alexander-hotea-mironescu/profil/spieler/1117043,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/40/page/11
Alexander Kimmel,FC Germania Forst,Fundaș,,40,Germania,,https://www.transfermarkt.com/alexander-kimmel/profil/spieler/271194,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/40/page/4
Alexander Plaianu,SV Melverode/Heidberg,Mijlocaș,,,Germania,,https://www.transfermarkt.com/alexander-plaianu/profil/spieler/605076,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/40/page/6
Alexander Valentin Enea,VfR Hausen II,Portar,,28,Germania,,https://www.transfermarkt.com/alexander-valentin-enea/profil/spieler/1405702,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/40/page/14
Alexandru Ariton,SSV Boppard,Portar,,36,Germania,,https://www.transfermarkt.com/alexandru-ariton/profil/spieler/535215,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/40/page/5
Alexandru Baciu,Gullfálkinn,Mijlocaș,,,Islanda,,https://www.transfermarkt.com/alexandru-baciu/profil/spieler/991824,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/73
Alexandru Baron,Rayo Vallecano C,Mijlocaș central,,22,Spania,,https://www.transfermarkt.com/alexandru-baron/profil/spieler/1520348,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/157/page/3
Alexandru Batir,SV Marzling,Atacant,,33,Germania,,https://www.transfermarkt.com/alexandru-batir/profil/spieler/728974,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/40/page/8
Alexandru Burnescu,USD Vanchiglia 1915,Atacant secund,,19,Italia,,https://www.transfermarkt.com/alexandru-burnescu/profil/spieler/1302594,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/75/page/5
Alexandru Dăescu,1.FC Düren,Mijlocaș defensiv,,35,Germania,Mittelrheinliga,https://www.transfermarkt.com/alexandru-daescu/profil/spieler/236121,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/40/page/2
Alexandru Epuraru,FC Villarreal Youth,Mijlocaș,,,Spania,,https://www.transfermarkt.com/alexandru-epuraru/profil/spieler/1552952,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/157/page/3
Alexandru Eugen Chiţu,Rissener SV,Atacant,,,Germania,,https://www.transfermarkt.com/alexandru-eugen-chitu/profil/spieler/948661,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/40/page/10
Alexandru Fekete,SK Waldkraiburg,Portar,,,Germania,,https://www.transfermarkt.com/alexandru-fekete/profil/spieler/729762,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/40/page/8
Alexandru Ghiță,SV Hausach,Mijlocaș defensiv,,35,Germania,,https://www.transfermarkt.com/alexandru-ghita/profil/spieler/93516,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/40/page/3
Alexandru Hîrtopeanu,Rot-Weiß Oberhausen U19,Mijlocaș ofensiv,,18,Germania,U19 DFB-Nachwuchsliga - Vorrunde Gruppe H,https://www.transfermarkt.com/alexandru-hirtopeanu/profil/spieler/1060698,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/40/page/11
Alexandru Iacob,Camaiore Calcio,Fundaș stânga,,21,Italia,,https://www.transfermarkt.com/alexandru-iacob/profil/spieler/994142,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/75/page/4
Alexandru Iloie,CF Cubelles,Fundaș stânga,,30,Spania,,https://www.transfermarkt.com/alexandru-iloie/profil/spieler/223732,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/157
Alexandru Ioniță,Chievo Verona,Fundaș central,,18,Italia,Serie D - Girone B,https://www.transfermarkt.com/alexandru-ionita/profil/spieler/1182472,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/75/page/4
Alexandru Kohonicz,SC Landshut-Berg,Mijlocaș,,33,Germania,,https://www.transfermarkt.com/alexandru-kohonicz/profil/spieler/438507,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/40/page/5
Alexandru Leucuta,TSU Handenberg,Extremă dreapta,,38,Austria,,https://www.transfermarkt.com/alexandru-leucuta/profil/spieler/48732,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/127
Alexandru Lica,Rot-Weiß Cuxhaven,Mijlocaș,,33,Germania,,https://www.transfermarkt.com/alexandru-lica/profil/spieler/1506284,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/40/page/16
Alexandru Liuba,UFC Markt Allhau,Atacant,,19,Austria,,https://www.transfermarkt.com/alexandru-liuba/profil/spieler/1072915,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/127/page/2
Alexandru Martinas,Alki Larnaca 1948,Mijlocaș dreapta,,26,Cipru,,https://www.transfermarkt.com/alexandru-martinas/profil/spieler/1411209,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/188
Alexandru Mihai,Bala Town FC U21,Portar,,18,Țara Galilor,,https://www.transfermarkt.com/alexandru-mihai/profil/spieler/1436880,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/191
Alexandru Miloiu,Lazio Under 18,Fundaș central,,17,Italia,Campionato Under 18,https://www.transfermarkt.com/alexandru-miloiu/profil/spieler/1204448,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/75/page/5
Alexandru Mocanu,CD Caspe,Atacant,,20,Spania,,https://www.transfermarkt.com/alexandru-mocanu/profil/spieler/1547502,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/157/page/3
Alexandru Ologu,FC Lye Town,Mijlocaș central,,37,Anglia,,https://www.transfermarkt.com/alexandru-ologu/profil/spieler/105682,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/189
Alexandru Olteanu,Vorwärts Nordhorn,Fundaș dreapta,,26,Germania,Oberliga Niedersachsen,https://www.transfermarkt.com/alexandru-olteanu/profil/spieler/565088,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/40/page/3
Alexandru Paraschiv,VfR Mannheim,Mijlocaș ofensiv,,27,Germania,Regionalliga Südwest,https://www.transfermarkt.com/alexandru-paraschiv/profil/spieler/415878,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/40/page/3
Alexandru Paraschiv,Afríka Reykjavík,Fundaș central,,,Islanda,,https://www.transfermarkt.com/alexandru-paraschiv/profil/spieler/1251038,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/73
Alexandru Pogaci,FC Collex-Bossy,Mijlocaș stânga,,25,Elveția,2. Liga interregional - Gruppe 1,https://www.transfermarkt.com/alexandru-pogaci/profil/spieler/575185,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/148
Alexandru Pop,FC Fortuna Plauen,Mijlocaș,,,Germania,,https://www.transfermarkt.com/alexandru-pop/profil/spieler/1443296,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/40/page/15
Alexandru Pribeagu,UD Benigànim,Fundaș central,,25,Spania,,https://www.transfermarkt.com/alexandru-pribeagu/profil/spieler/631670,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/157
Alexandru Simulete,Rellinger FC 2010,Mijlocaș,,,Germania,,https://www.transfermarkt.com/alexandru-simulete/profil/spieler/712489,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/40/page/7
Alexandru Șiman,Milan Futuro,Extremă dreapta,,20,Italia,Serie D - Girone B,https://www.transfermarkt.com/alexandru-siman/profil/spieler/1008223,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/75/page/4
Alexandru Zaharia,Pro Poggiomarino,Atacant central,,25,Italia,,https://www.transfermarkt.com/alexandru-zaharia/profil/spieler/537786,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/75/page/3
Alexandru-Claudiu Török,Türkischer SV Singen,Fundaș stânga,,22,Germania,Oberliga Baden-Württemberg,https://www.transfermarkt.com/alexandru-claudiu-torok/profil/spieler/1271665,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/40/page/13
