Nume,Echipă,Post,M.V. (EUR),Vârstă,Țara campionatului,Competiție,Profil Transfermarkt,Lista sursă
Vlad Duminică,Luparense FC,Fundaș dreapta,50000,20,Italia,Serie D - Girone C,https://www.transfermarkt.com/vlad-duminica/profil/spieler/1113084,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/75
Gabriele Bârlădeanu,Real Monterotondo,Portar,25000,18,Italia,,https://www.transfermarkt.com/gabriele-barladeanu/profil/spieler/1430626,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/75/page/2
Lóránd Bencze,Puskás Akadémia FC II,Fundaș stânga,25000,17,Ungaria,,https://www.transfermarkt.com/lorand-bencze/profil/spieler/1375842,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/178
Luca Lois Niculae,Sant'Angelo,Extremă dreapta,25000,19,Italia,Serie D - Girone D,https://www.transfermarkt.com/luca-lois-niculae/profil/spieler/1456343,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/75/page/2
Marian Găldean,FC Pompei,Mijlocaș defensiv,25000,37,Italia,,https://www.transfermarkt.com/marian-galdean/profil/spieler/248411,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/75/page/2
Rareș Mezdrea,Coruxo FC,Mijlocaș central,25000,24,Spania,Segunda Federación - Grupo I,https://www.transfermarkt.com/rares-mezdrea/profil/spieler/1005704,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/157
Roland Gergely,Karcagi SC,Portar,25000,21,Ungaria,Nemzeti Bajnokság II.,https://www.transfermarkt.com/roland-gergely/profil/spieler/1125872,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/178
Andrei Lungu,ASD Pro Eureka,Atacant central,10000,19,Italia,,https://www.transfermarkt.com/andrei-lungu/profil/spieler/1453318,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/75/page/2
Andrei Racu,FC Bassano,Fundaș central,10000,19,Italia,Serie D - Girone C,https://www.transfermarkt.com/andrei-racu/profil/spieler/988991,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/75/page/2
Demian Popovici,ASD Digiesse PraiaTortora,Fundaș central,10000,24,Italia,Serie D - Girone I,https://www.transfermarkt.com/demian-popovici/profil/spieler/696610,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/75/page/2
Kevin Olah,Atlètic Club d'Escaldes,Mijlocaș,10000,23,Andorra,Primera Divisió,https://www.transfermarkt.com/kevin-olah/profil/spieler/1143737,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/5
Leonardo Stîngaciu,AlbinoLeffe Primavera,Mijlocaș stânga,10000,20,Italia,Primavera 1,https://www.transfermarkt.com/leonardo-stingaciu/profil/spieler/1060120,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/75/page/2
Troy Tomșa,Sassuolo Primavera,Mijlocaș defensiv,10000,19,Italia,Primavera 1,https://www.transfermarkt.com/troy-tomsa/profil/spieler/1100802,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/75/page/2
Abel-Cristian Petac,Lichtenauer FV,Fundaș dreapta,,29,Germania,Verbandsliga Hessen-Nord,https://www.transfermarkt.com/abel-cristian-petac/profil/spieler/1293882,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/40/page/13
